Attachment size in more human-readable format. ##,enhancement+
"Error message shows password (plain text, readable). I tried to connect to an existing mailbox with wrong credentials (old password) stored in K-9.As a result, K-9 says ""Username or Password wrong. (Command: LOGIN ""user.name@mailbox.tld"" ""password-in-plain-text""; response: #2",bug+
"selecting key from openkeychain fails. k-9 does not accept the cryptographic key from openkeychain.The key has been created newly by openkeychain using plain defaults from thewizzard, except for uploading to the internet being off (as these are testsyet only).Steps in detail:In k-9, after selecting the key from the list, the app takes a short breathfor about 1 sec. and then simply behaves as if it was newly started. Lookslike a quick app restart after a crash or so (but there is no crash message).When entering the menu Cryptography / My key, there is still ""no keyselected"".Tried with K-9/OpenKeyChain 5.502/4.9.2 as well as 5.403/4.9. 7.1.2 / LineageOS. Security options were off for bothfor both apps.",bug+
K9 crashed immediately by trying to decrypt a mail. Mails should be decryptedK9 crashed immediately by trying to decrypt1. Open a encrypted (in my case not signed) mail2. Enter the key password3. The screen will be black for a second and nothing else happens 5.500 7.0 on a Huawei nova IMAPI have enabled debug logging. Where can I found the logg file?,bug+
"twitter background image - td element. the background images (for previewing videos in the twitter e-mails) aren't displayed for some reason.[twitter.zip](. Could you pls take a look? :)Regards,Djfe",bug+
"App crashes when I click on contact logo. Hi,I've not found a recent issue related to my issue.Thanks for your answerIt should be create a new message with the clicked contact, as recipient.Since the update, the app crashes when I click on contact logo square.1. Open the app2. Click on the logo square of any email3. The app will crash 5.403 5.1 with Flyme 6.2.0.0A IMAP with Gmail",bug+
"Subject only decoded in part .. I got raw subject like Subject: =?UTF-8?B?W+aWsOioguWWrl0g6aGn5a6iOiB4eHhAeHh4LmNvbSDmnInmlrDoqILllq46ICMyMDE4MA==?=                                                                   	=?UTF-8?B?MTE4MTIzNDU2Nzg=?=It separate in 2 lines , k9 only parse the first lineK9 should parse all lines k9 only parse the first line1. Use Gmail to send mail to address used in k92. In Subject , paste [新訂單] 顧客: xxx@xxx.com 有新訂單: #20180118123456783. Send it out.master branch commit 63010dd4deea64a323de0036d97ef15fca3277ff",bug+
"image map / links not working. There's an email with an image map (picture with links according to the x,y position).But I can't open a link. No link is shown.Works well with other email clients...Is there a (new) setting for this?Android 7.0k-9 5.403Matt",bug+
"tel URI links are stripped by HtmlSanitizer. Please search to check for an existing issue (including closed issues, for which the fix may not have yet been released) before opening a new issue: . Click to call link does not work since a few weeks. A click to call link is a hyperlink which is opened by a dialer-application. For Exampel: `<a href=""tel:004955555"">55555</a>`Link is shown as plain text1. Create a new mail with html code` <a href=""tel:004955555"">55555</a>` in it2. Check for new mails in an old version of k9, or in thunderbird and look for the link3. Check with current k9 mail, link is shown as plain-text. current 5.4037.0 (motorola) and 7.1.2 (lineage) verifieddoes not matter  ",bug+enhancement+
"add option to delete (or detatch) quotation in forwarded or replied messages. I can close the quotation by pressing the X (but its only hidden) I can edit the quotation by pressing the pencil. But i cant delete it. I can empty it, but not delete it.Especially for mailing lists, this option would be useful to have.There could be two solutions:1. A delete button, earasing the quotation with no way back.2. A detatch button, allowing the user to still read the quoted text, but not including the quotation when sending the email. There must be a very clear clue to the user when the quotation wont actually be included, however it would be beneficial to be able to read the quotation while writing the reply. This also allows for last minute change of mind and includimg the quotation after all.Especially with mailing lists or when replying to a large number of people, removing quotations would be more convinient than writing a completely new message and adding all the addresses manually.5.403",enhancement+
"<center> doesn't stretch to full width. k9![screenshot_20180106-033959](. thunderbird![thunderbird_2018-01-06_03-40-05](. Of course this is due to the fact, that mail uses more than one center tag, but still:if one container stretches the viewport, then other containers like center should also reach that width.",bug+
